ID,SOLVER,FASE,RUN,TIEMPO,Z,STATUS,SUMMARY,NOTES
fase2_sat_run13,sat,fase2,13,0.0030000000,3055.1400000000,0,,
fase2_sat_run14,sat,fase2,14,0.0030000000,3055.1400000000,0,,
fase2_sat_run15,sat,fase2,15,0.0030000000,3055.1400000000,0,,
fase2_sat_run16,sat,fase2,16,0.0030000000,3055.1400000000,0,,
fase2_sat_run17,sat,fase2,17,0.0030000000,3055.1400000000,0,,
fase2_sat_run18,sat,fase2,18,0.0020000000,3055.1400000000,0,,
fase2_sat_run19,sat,fase2,19,0.0030000000,3055.1400000000,0,,
fase2_sat_run20,sat,fase2,20,0.0030000000,3055.1400000000,0,,
fase2_sat_run21,sat,fase2,21,0.0030000000,3055.1400000000,0,,
fase2_sat_run22,sat,fase2,22,0.0020000000,3055.1400000000,0,,
fase2_sat_run23,sat,fase2,23,0.0030000000,3055.1400000000,0,,
fase2_sat_run24,sat,fase2,24,0.0030000000,3055.1400000000,0,,
fase2_sat_run25,sat,fase2,25,0.0020000000,3055.1400000000,0,,
fase2_sat_run26,sat,fase2,26,0.0040000000,3055.1400000000,0,,
fase2_sat_run27,sat,fase2,27,0.0020000000,3055.1400000000,0,,
fase2_sat_run28,sat,fase2,28,0.0020000000,3055.1400000000,0,,
fase2_sat_run29,sat,fase2,29,0.0030000000,3055.1400000000,0,,
fase2_sat_run30,sat,fase2,30,0.0030000000,3055.1400000000,0,,
fase2_sat_run31,sat,fase2,31,0.0030000000,3055.1400000000,0,,
fase2_sat_run32,sat,fase2,32,0.0030000000,3055.1400000000,0,,
fase2_sat_run33,sat,fase2,33,0.0030000000,3055.1400000000,0,,
fase2_sat_run34,sat,fase2,34,0.0020000000,3055.1400000000,0,,
fase2_sat_run35,sat,fase2,35,0.0030000000,3055.1400000000,0,,
fase2_sat_run36,sat,fase2,36,0.0030000000,3055.1400000000,0,,
fase2_sat_run37,sat,fase2,37,0.0030000000,3055.1400000000,0,,
fase2_sat_run38,sat,fase2,38,0.0030000000,3055.1400000000,0,,
fase2_sat_run39,sat,fase2,39,0.0030000000,3055.1400000000,0,,
fase2_sat_run40,sat,fase2,40,0.0030000000,3055.1400000000,0,,
fase2_sat_run41,sat,fase2,41,0.0030000000,3055.1400000000,0,,
fase2_sat_run42,sat,fase2,42,0.0030000000,3055.1400000000,0,,
fase2_sat_run43,sat,fase2,43,0.0030000000,3055.1400000000,0,,
fase2_sat_run44,sat,fase2,44,0.0030000000,3055.1400000000,0,,
fase2_sat_run45,sat,fase2,45,0.0030000000,3055.1400000000,0,,
fase2_sat_run46,sat,fase2,46,0.0030000000,3055.1400000000,0,,
fase2_sat_run47,sat,fase2,47,0.0020000000,3055.1400000000,0,,
fase2_sat_run48,sat,fase2,48,0.0030000000,3055.1400000000,0,,
